0.000;2.303848;0.550254;-0.669140;0.743136;0.000000
0.050;2.358698;1.097016;-0.708875;0.705334;0.000000
0.100;2.439497;1.615966;-0.763490;0.645819;0.000000
0.150;2.544053;2.091127;-0.826722;0.562610;0.000000
0.200;2.669307;2.505068;-0.890531;0.454923;0.000000
0.250;2.811295;2.839778;-0.945946;0.324324;0.000000
0.300;2.965215;3.078399;-0.984486;0.175464;0.000000
0.350;3.125590;3.207497;-0.999872;0.016002;0.000000
0.400;3.286554;3.219270;-0.989512;-0.144454;0.000000
0.450;3.442203;3.112988;-0.955156;-0.296103;0.000000
0.500;3.586960;2.895131;-0.902453;-0.430789;0.000000
0.550;3.715869;2.578177;-0.839586;-0.543227;0.000000
0.600;3.824793;2.178498;-0.775556;-0.631279;0.000000
0.650;3.910495;1.714035;-0.718674;-0.695347;0.000000
0.700;3.970617;1.202433;-0.675596;-0.737272;0.000000
0.750;4.003616;0.659985;-0.650903;-0.759161;0.000000
0.800;4.008688;0.101432;-0.647044;-0.762453;0.000000
0.850;3.985711;-0.459542;-0.664391;-0.747385;0.000000
0.900;3.935239;-1.009431;-0.701250;-0.712915;0.000000
0.950;3.858541;-1.533958;-0.753814;-0.657088;0.000000
1.000;3.757671;-2.017410;-0.816151;-0.577839;0.000000
1.050;3.635543;-2.442555;-0.880467;-0.474108;0.000000
1.100;3.495974;-2.791380;-0.937861;-0.347010;0.000000
1.150;3.343639;-3.046692;-0.979658;-0.200675;0.000000
1.200;3.183922;-3.194339;-0.999104;-0.042317;0.000000
1.250;3.022649;-3.225474;-0.992935;0.118664;0.000000
1.300;2.865740;-3.138167;-0.962193;0.272367;0.000000
1.350;2.718852;-2.937773;-0.911968;0.410262;0.000000
1.400;2.587056;-2.635923;-0.850144;0.526550;0.000000
1.450;2.474630;-2.248514;-0.785704;0.618603;0.000000
1.500;2.384961;-1.793377;-0.727152;0.686476;0.000000
1.550;2.320546;-1.288302;-0.681455;0.731860;0.000000
1.600;2.283054;-0.749837;-0.653544;0.756888;0.000000
1.650;2.273406;-0.192956;-0.646212;0.763158;0.000000
1.700;2.291833;0.368538;-0.660164;0.751122;0.000000
1.750;2.337892;0.921175;-0.694047;0.719929;0.000000
1.800;2.410435;1.450863;-0.744402;0.667732;0.000000
1.850;2.507542;1.942147;-0.805635;0.592413;0.000000
1.900;2.626443;2.378015;-0.870219;0.492665;0.000000
1.950;2.763468;2.740493;-0.929359;0.369178;0.000000
2.000;2.914074;3.012116;-0.974229;0.225561;0.000000
2.050;3.072977;3.178072;-0.997647;0.068562;0.000000
2.100;3.234403;3.228517;-0.995696;-0.092677;0.000000
2.150;3.392420;3.160329;-0.968708;-0.248205;0.000000
2.200;3.541305;2.977712;-0.921173;-0.389154;0.000000
2.250;3.675875;2.691393;-0.860634;-0.509223;0.000000
2.300;3.791711;2.316732;-0.796012;-0.605281;0.000000
2.350;3.885281;1.871396;-0.735976;-0.677007;0.000000
